Chapter,Page,PageRow,PageBodyRows,PageSectionHeaders,PageRenderedRows,StatID,Section,Measure,Source,EarlierYear,LatestYear,Earlier,Latest,Change,EndpointRule,AuditFlag
Chapter 2,1,2,30,6,36,international_undergraduates,Scale and academic level,International undergraduate students,FIG301,NA,NA,"254,000","357,000",+40.4%,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 2,1,3,30,6,36,international_graduates,Scale and academic level,International graduate students,FIG301,NA,NA,"238,000","488,000",+105%,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 2,1,4,30,6,36,masters_share,Scale and academic level,Master’s share of international enrollment,FIG301,NA,NA,22.6%,26%,+3.4 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 2,1,5,30,6,36,doctorate_share,Scale and academic level,Doctorate share of international enrollment,FIG301,NA,NA,14.1%,13%,-1.1 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 2,1,6,30,6,36,opt_share,Scale and academic level,OPT share of international enrollment,FIG301,NA,NA,3.84%,25%,+21.1 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 2,1,7,30,6,36,asia_count,Geographic concentration,International students from Asia,TAB201,NA,NA,"302,000","843,000",+179%,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 2,1,8,30,6,36,asia_share,Geographic concentration,Asia’s share of international students,TAB201,NA,NA,55.1%,71.6%,+16.4 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 2,1,9,30,6,36,china_undergraduate_share,Geographic concentration,  China’s share of international undergraduates,FIG201,NA,NA,3.16%,22%,+18.8 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 2,1,10,30,6,36,china_graduate_share,Geographic concentration,  China’s share of international graduate students,FIG202,NA,NA,19.7%,24.6%,+5.0 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 2,1,11,30,6,36,india_undergraduate_share,Geographic concentration,  India’s share of international undergraduates,FIG201,NA,NA,4.7%,11.2%,+6.5 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 2,1,12,30,6,36,india_graduate_share,Geographic concentration,  India’s share of international graduate students,FIG202,NA,NA,16.3%,36.4%,+20.1 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 2,1,13,30,6,36,south_korea_graduate_share,Geographic concentration,  South Korea’s share of international graduate students,FIG202,NA,NA,8.82%,3.04%,-5.8 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 2,1,14,30,6,36,europe_share,Geographic concentration,Europe’s share of international students,TAB201,NA,NA,17.1%,7.93%,-9.2 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 2,1,15,30,6,36,sub_saharan_africa_share,Geographic concentration,Sub-Saharan Africa’s share of international students,TAB201,NA,NA,5.37%,5.55%,+0.2 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 2,1,16,30,6,36,math_cs_students,Concentration by STEM field,International students in math and computer science,FIG203,NA,NA,"67,800","305,000",+350%,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 2,1,17,30,6,36,engineering_students,Concentration by STEM field,International students in engineering,FIG203,NA,NA,"83,400","217,000",+160%,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 2,1,18,30,6,36,india_stem_students,Concentration by STEM field,STEM students from India,FIG204,NA,NA,"72,200²⁰¹⁰","260,000",+261%,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 2,1,19,30,6,36,china_stem_students,Concentration by STEM field,STEM students from China,FIG204,NA,NA,"55,500²⁰¹⁰","138,000",+149%,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 2,1,20,30,6,36,enrollment_undergraduate,Projected Changes to International Enrollment Between 2025 and 2026,Undergraduate enrollment,FIG301 + FIG206,NA,NA,"357,000²⁰²⁵","364,000ᴾ",+2%,2025 actual count + FIG206 year-over-year change → 2026P,CHECK: earlier cell has no year
Chapter 2,1,21,30,6,36,enrollment_graduate,Projected Changes to International Enrollment Between 2025 and 2026,Graduate enrollment,FIG301 + FIG206,NA,NA,"488,000²⁰²⁵","430,000ᴾ",-12%,2025 actual count + FIG206 year-over-year change → 2026P,CHECK: earlier cell has no year
Chapter 2,1,22,30,6,36,enrollment_opt,Projected Changes to International Enrollment Between 2025 and 2026,OPT participation,FIG301 + FIG206,NA,NA,"294,000²⁰²⁵","335,000ᴾ",+14%,2025 actual count + FIG206 year-over-year change → 2026P,CHECK: earlier cell has no year
Chapter 2,1,23,30,6,36,top_recruitment_target,Recruitment and barriers (2015–2025),Top recruitment target,NA,NA,NA,China: 65.8%²⁰¹⁵,India: 53%,China → India,2015 historical recruitment baseline → 2025 FIG207 priority,CHECK: source map missing
Chapter 2,1,24,30,6,36,recruitment_china,Recruitment and barriers (2015–2025),Institutions citing China as a recruitment priority,NA,NA,NA,65.8%²⁰¹⁵,31%,-34.8 pp,First nonmissing observation → latest nonmissing observation,CHECK: source map missing
Chapter 2,1,25,30,6,36,recruitment_india,Recruitment and barriers (2015–2025),Institutions citing India as a recruitment priority,NA,NA,NA,40.5%²⁰¹⁵,53%,+12.5 pp,First nonmissing observation → latest nonmissing observation,CHECK: source map missing
Chapter 2,1,26,30,6,36,recruitment_south_korea,Recruitment and barriers (2015–2025),Institutions citing South Korea as a recruitment priority,NA,NA,NA,28.9%²⁰¹⁵,33%,+4.1 pp,First nonmissing observation → latest nonmissing observation,CHECK: source map missing
Chapter 2,1,27,30,6,36,barrier_visa_application_process,Recruitment and barriers (2015–2025),Institutions citing visa application process,NA,NA,NA,12%²⁰¹⁵,96%,+84.0 pp,First nonmissing observation → latest nonmissing observation,CHECK: source map missing
Chapter 2,1,28,30,6,36,barrier_problems_at_the_port_of_entry,Recruitment and barriers (2015–2025),Institutions citing problems at the port of entry,NA,NA,NA,0%²⁰¹⁵,61%,+61.0 pp,First nonmissing observation → latest nonmissing observation,CHECK: source map missing
